city,year,month,retail_sales,frequency
New York,2013,1,58309.0,monthly
Los Angeles,2013,1,54906.0,monthly
Chicago,2013,1,59836.0,monthly
Houston,2013,1,45369.0,monthly
Phoenix,2013,1,60732.0,monthly
Philadelphia,2013,1,53977.0,monthly
San Antonio,2013,1,43714.0,monthly
San Diego,2013,1,57399.0,monthly
New York,2013,2,57089.0,monthly
Los Angeles,2013,2,57973.0,monthly
Chicago,2013,2,56707.0,monthly
Houston,2013,2,45410.0,monthly
Phoenix,2013,2,60473.0,monthly
Philadelphia,2013,2,53900.0,monthly
San Antonio,2013,2,44874.0,monthly
San Diego,2013,2,59130.0,monthly
New York,2013,3,56345.0,monthly
Los Angeles,2013,3,54437.0,monthly
Chicago,2013,3,54669.0,monthly
Houston,2013,3,44554.0,monthly
Phoenix,2013,3,62373.0,monthly
Philadelphia,2013,3,52942.0,monthly
San Antonio,2013,3,43259.91,monthly
San Diego,2013,3,57272.0,monthly
New York,2013,4,53875.0,monthly
Los Angeles,2013,4,56529.0,monthly
Chicago,2013,4,59913.0,monthly
Houston,2013,4,45409.0,monthly
Phoenix,2013,4,57242.0,monthly
Philadelphia,2013,4,55833.0,monthly
San Antonio,2013,4,44672.0,monthly
San Diego,2013,4,55271.0,monthly
New York,2013,5,53875.0,monthly
Los Angeles,2013,5,52924.0,monthly
Chicago,2013,5,57040.0,monthly
Houston,2013,5,44666.0,monthly
Phoenix,2013,5,58654.0,monthly
Philadelphia,2013,5,51721.0,monthly
San Antonio,2013,5,43259.91,monthly
San Diego,2013,5,55928.0,monthly
New York,2013,6,53329.0,monthly
Los Angeles,2013,6,54885.0,monthly
Chicago,2013,6,60134.0,monthly
Houston,2013,6,43259.91,monthly
Phoenix,2013,6,62669.0,monthly
Philadelphia,2013,6,52803.0,monthly
San Antonio,2013,6,43259.91,monthly
San Diego,2013,6,55987.0,monthly
New York,2013,7,57838.0,monthly
Los Angeles,2013,7,54619.0,monthly
Chicago,2013,7,60116.0,monthly
Houston,2013,7,43259.91,monthly
Phoenix,2013,7,62308.0,monthly
Philadelphia,2013,7,52757.0,monthly
San Antonio,2013,7,43259.91,monthly
San Diego,2013,7,56485.0,monthly
New York,2013,8,56359.0,monthly
Los Angeles,2013,8,53838.0,monthly
Chicago,2013,8,59481.0,monthly
Houston,2013,8,43259.91,monthly
Phoenix,2013,8,59702.0,monthly
Philadelphia,2013,8,51525.0,monthly
San Antonio,2013,8,44755.0,monthly
San Diego,2013,8,56654.0,monthly
New York,2013,9,56955.0,monthly
Los Angeles,2013,9,55896.0,monthly
Chicago,2013,9,56272.0,monthly
Houston,2013,9,43459.0,monthly
Phoenix,2013,9,60688.0,monthly
Philadelphia,2013,9,53614.0,monthly
San Antonio,2013,9,44107.0,monthly
San Diego,2013,9,58782.0,monthly
New York,2013,10,53120.0,monthly
Los Angeles,2013,10,55622.0,monthly
Chicago,2013,10,56792.0,monthly
Houston,2013,10,43259.91,monthly
Phoenix,2013,10,58632.0,monthly
Philadelphia,2013,10,54724.0,monthly
San Antonio,2013,10,43491.0,monthly
San Diego,2013,10,56212.0,monthly
New York,2013,11,58416.0,monthly
Los Angeles,2013,11,56779.0,monthly
Chicago,2013,11,59470.0,monthly
Houston,2013,11,44520.0,monthly
Phoenix,2013,11,58097.0,monthly
Philadelphia,2013,11,53778.0,monthly
San Antonio,2013,11,43259.91,monthly
San Diego,2013,11,56890.0,monthly
New York,2013,12,57649.0,monthly
Los Angeles,2013,12,54422.0,monthly
Chicago,2013,12,56401.0,monthly
Houston,2013,12,43280.0,monthly
Phoenix,2013,12,59750.0,monthly
Philadelphia,2013,12,51873.0,monthly
San Antonio,2013,12,45027.0,monthly
San Diego,2013,12,57785.0,monthly
New York,2014,1,55815.0,monthly
Los Angeles,2014,1,55910.0,monthly
Chicago,2014,1,57220.0,monthly
Houston,2014,1,46025.0,monthly
Phoenix,2014,1,60861.0,monthly
Philadelphia,2014,1,54648.0,monthly
San Antonio,2014,1,44212.0,monthly
San Diego,2014,1,58065.0,monthly
New York,2014,2,55640.0,monthly
Los Angeles,2014,2,55474.0,monthly
Chicago,2014,2,59512.0,monthly
Houston,2014,2,44800.0,monthly
Phoenix,2014,2,62283.0,monthly
Philadelphia,2014,2,52575.0,monthly
San Antonio,2014,2,46107.0,monthly
San Diego,2014,2,60762.0,monthly
New York,2014,3,55649.0,monthly
Los Angeles,2014,3,55764.0,monthly
Chicago,2014,3,61757.0,monthly
Houston,2014,3,46143.0,monthly
Phoenix,2014,3,59158.0,monthly
Philadelphia,2014,3,57365.0,monthly
San Antonio,2014,3,44420.0,monthly
San Diego,2014,3,59298.0,monthly
New York,2014,4,56343.0,monthly
Los Angeles,2014,4,57711.0,monthly
Chicago,2014,4,60336.0,monthly
Houston,2014,4,44597.0,monthly
Phoenix,2014,4,64697.0,monthly
Philadelphia,2014,4,53028.0,monthly
San Antonio,2014,4,44142.0,monthly
San Diego,2014,4,57573.0,monthly
New York,2014,5,57611.0,monthly
Los Angeles,2014,5,56826.0,monthly
Chicago,2014,5,59591.0,monthly
Houston,2014,5,44235.0,monthly
Phoenix,2014,5,64770.0,monthly
Philadelphia,2014,5,55865.0,monthly
San Antonio,2014,5,44525.0,monthly
San Diego,2014,5,60042.0,monthly
New York,2014,6,57077.0,monthly
Los Angeles,2014,6,54881.0,monthly
Chicago,2014,6,56792.0,monthly
Houston,2014,6,45302.0,monthly
Phoenix,2014,6,62991.0,monthly
Philadelphia,2014,6,58017.0,monthly
San Antonio,2014,6,43805.0,monthly
San Diego,2014,6,58946.0,monthly
New York,2014,7,56269.0,monthly
Los Angeles,2014,7,55966.0,monthly
Chicago,2014,7,59857.0,monthly
Houston,2014,7,46194.0,monthly
Phoenix,2014,7,61989.0,monthly
Philadelphia,2014,7,55529.0,monthly
San Antonio,2014,7,45799.0,monthly
San Diego,2014,7,58986.0,monthly
New York,2014,8,58111.0,monthly
Los Angeles,2014,8,55925.0,monthly
Chicago,2014,8,62076.0,monthly
Houston,2014,8,44632.0,monthly
Phoenix,2014,8,60590.0,monthly
Philadelphia,2014,8,57673.0,monthly
San Antonio,2014,8,44704.0,monthly
San Diego,2014,8,58672.0,monthly
New York,2014,9,55397.0,monthly
Los Angeles,2014,9,58504.0,monthly
Chicago,2014,9,57046.0,monthly
Houston,2014,9,47298.0,monthly
Phoenix,2014,9,63705.0,monthly
Philadelphia,2014,9,53867.0,monthly
San Antonio,2014,9,43495.0,monthly
San Diego,2014,9,58766.0,monthly
