city,year,month,season,TMAX_mean,TMAX_max,TMAX_std,TMIN_mean,TMIN_min,TMIN_std,PRCP_sum,SNOW_sum,AWND_mean,TMAX_anomaly_mean,TMIN_anomaly_mean,PRCP_anomaly_sum
Chicago,2013,1,Winter,1.83,17.2,6.61,-7.84,-18.3,5.56,92.1,66.0,5.23,2.18,0.19,39.49
Houston,2013,1,Winter,18.43,27.2,6.21,7.65,-1.7,5.93,81.6,0.0,3.5,0.66,1.53,-16.25
Los Angeles,2013,1,Winter,18.73,26.7,4.41,8.48,3.3,3.11,33.0,0.0,2.54,-0.86,-1.5,-23.48
New York,2013,1,Winter,4.91,16.1,5.96,-1.48,-11.7,5.2,70.1,38.0,2.88,0.69,1.06,-17.06
Philadelphia,2013,1,Winter,6.38,20.0,6.29,-1.45,-11.1,4.68,84.9,100.0,3.84,1.1,1.4,3.98
Phoenix,2013,1,Winter,18.28,27.2,5.15,5.72,-1.7,4.5,35.5,0.0,2.03,-1.93,-1.76,19.23
San Antonio,2013,1,Winter,18.19,30.0,6.15,6.15,-1.7,5.7,71.9,0.0,3.41,0.3,1.03,31.35
San Diego,2013,1,Winter,18.08,26.7,3.94,8.39,3.9,3.08,30.8,0.0,1.7,-1.54,-1.76,-7.06
Chicago,2013,2,Winter,0.64,11.1,4.8,-7.19,-17.8,5.08,75.2,410.0,4.98,-0.48,0.58,20.41
Houston,2013,2,Winter,20.49,26.1,2.95,8.85,1.1,3.87,33.6,0.0,3.67,0.78,0.34,-18.6
Los Angeles,2013,2,Winter,18.2,26.7,4.05,8.59,3.9,2.48,5.1,0.0,2.91,-1.31,-1.68,-26.73
New York,2013,2,Winter,4.09,12.8,4.05,-1.96,-8.3,3.63,108.0,311.0,3.19,-1.82,-0.44,10.77
Philadelphia,2013,2,Winter,5.38,13.9,4.02,-1.92,-7.8,3.07,53.8,70.0,4.54,-1.65,-0.27,-31.01
Phoenix,2013,2,Winter,20.15,26.7,4.11,7.76,3.3,3.0,7.8,0.0,2.37,-2.06,-1.42,-7.54
San Antonio,2013,2,Winter,21.77,27.2,2.85,8.25,-0.6,4.44,2.7,0.0,3.8,2.08,0.87,-29.62
San Diego,2013,2,Winter,17.79,25.6,3.59,9.22,6.7,1.93,16.0,0.0,2.08,-2.08,-1.48,-10.85
Chicago,2013,3,Spring,4.24,15.0,4.66,-3.53,-10.0,3.65,50.9,266.0,4.61,-3.78,-2.38,-11.19
Houston,2013,3,Spring,22.89,32.2,4.14,9.59,-0.6,5.98,22.6,0.0,3.98,-0.88,-2.53,-50.02
Los Angeles,2013,3,Spring,18.51,27.8,2.89,11.69,8.9,1.4,16.8,0.0,2.93,-1.28,0.03,-18.14
New York,2013,3,Spring,7.94,15.0,3.65,1.1,-2.8,2.54,73.5,186.0,3.32,-2.02,-0.63,-18.84
Philadelphia,2013,3,Spring,9.45,16.7,3.77,0.78,-2.2,1.91,61.5,33.0,5.12,-1.56,-0.63,-38.04
Phoenix,2013,3,Spring,28.3,35.0,4.14,13.4,6.7,3.38,21.6,0.0,2.39,1.81,0.56,8.33
San Antonio,2013,3,Spring,24.5,35.0,4.27,9.64,0.6,5.82,24.1,0.0,4.07,0.52,-2.04,-20.49
San Diego,2013,3,Spring,18.84,26.7,2.85,12.4,8.9,1.54,31.0,0.0,2.28,-1.36,-0.39,1.26
Chicago,2013,4,Spring,13.51,29.4,6.41,3.04,-3.8,4.1,220.6,3.0,5.26,-0.96,-0.79,113.4
Houston,2013,4,Spring,25.0,29.4,3.7,13.47,3.9,5.24,73.1,0.0,4.33,-1.57,-1.96,-35.15
Los Angeles,2013,4,Spring,20.16,26.1,2.47,13.32,10.6,1.07,1.5,0.0,3.75,-0.82,0.2,-8.96
New York,2013,4,Spring,16.29,27.8,5.08,7.05,0.6,3.78,33.3,0.0,2.8,-0.07,-0.21,-65.15
Philadelphia,2013,4,Spring,18.14,31.7,5.92,7.19,-0.5,4.03,59.1,0.0,4.31,0.05,-0.16,-35.92
